Date,Airline,Flight_Num,Origin,Destination,Air_Time,Distance,Dep_Time,Delay,Cancelled (Y/N)
1/1/2018,AS,50,SCC,BRW,39,204,1655,-30,N
1/1/2018,OO,5431,MSN,DEN,121,826,1610,-25,N
1/1/2018,G4,5123,FSD,AZA,146,1072,1816,-24,N
1/1/2018,OO,5118,LAX,SGU,53,349,1912,-24,N
1/1/2018,AS,62,KTN,SEA,93,680,1328,-23,N
1/1/2018,EV,4403,TUS,IAH,109,936,1145,-23,N
1/1/2018,EV,4054,MOB,IAH,83,427,914,-21,N
1/1/2018,OO,7439,INL,MSP,44,255,1705,-21,N
1/1/2018,AS,505,SNA,SEA,135,978,1927,-20,N
1/1/2018,HA,230,OGG,KOA,22,84,1144,-20,N
1/1/2018,F9,1646,OMA,MCO,146,1211,1100,-19,N
1/1/2018,F9,1472,OMA,RSW,147,1299,1351,-19,N
1/1/2018,G4,1665,PIA,PGD,134,1045,1610,-19,N
1/1/2018,NK,356,LAS,ORD,181,1514,1818,-19,N
1/1/2018,OO,5023,SBP,LAX,37,156,2011,-19,N
1/1/2018,OO,5204,ACV,SFO,46,250,1451,-19,N
1/1/2018,OO,5884,ASE,DEN,28,125,1906,-19,N
1/1/2018,AA,943,STT,MIA,154,1107,1441,-19,N
1/1/2018,AS,70,ANC,JNU,80,571,1947,-18,N
1/1/2018,AS,880,KOA,SEA,327,2688,2307,-18,N
1/1/2018,9E,3667,LGA,PWM,47,269,1340,-18,N
1/1/2018,F9,95,MCI,DEN,89,533,1948,-18,N
1/1/2018,G4,862,PIE,CID,149,1090,1247,-18,N
1/1/2018,OH,5596,AVP,CLT,97,509,950,-18,N
1/1/2018,OO,3046,YUM,PHX,37,160,2047,-18,N
1/1/2018,AS,399,SJC,SEA,96,696,2053,-17,N
1/1/2018,AS,834,HNL,PDX,313,2603,1218,-17,N
1/1/2018,B6,589,DCA,JAX,109,634,842,-17,N
1/1/2018,OO,3388,SEA,PDX,30,129,615,-17,N
1/1/2018,OO,3498,PDX,SBA,112,784,750,-17,N
1/1/2018,OO,7360,LWS,SLC,61,461,1206,-17,N
1/1/2018,VX,1241,ORD,LAX,244,1744,1728,-17,N
1/1/2018,AA,298,HNL,LAX,301,2556,2218,-17,N
1/1/2018,DL,2178,PHX,DTW,192,1671,2313,-17,N
1/1/2018,UA,2010,HNL,SFO,286,2398,24,-16,N
1/1/2018,AS,40,ADQ,ANC,41,253,1639,-16,N
1/1/2018,AS,49,ANC,ADQ,49,253,1452,-16,N
1/1/2018,AS,363,SMF,SEA,87,605,1627,-16,N
1/1/2018,AS,589,BUR,SEA,130,937,1655,-16,N
