Airline,Origin,Delay (min)
9E,ABY,-2.5
9E,AEX,16.5
9E,AGS,32.0
9E,ATL,17.39344262295082
9E,ATW,-6.0
9E,AUS,-0.6666666666666666
9E,AVL,52.666666666666664
9E,BGR,-5.0
9E,BIS,-9.5
9E,BMI,92.0
9E,BNA,-0.75
9E,BOS,34.5
9E,BQK,-5.5
9E,BTV,14.5
9E,BUF,34.333333333333336
9E,BWI,-4.0
9E,CAE,172.0
9E,CHA,101.5
9E,CHS,-7.0
9E,CID,-3.0
9E,CLE,15.833333333333334
9E,CLT,-5.0
9E,CMH,100.0
9E,CSG,-11.0
9E,CVG,13.571428571428571
9E,CWA,-12.0
9E,DAY,-8.0
9E,DCA,49.0
9E,DFW,
9E,DHN,-8.0
9E,DSM,183.66666666666666
9E,DTW,8.86046511627907
9E,ELM,-11.0
9E,EWN,-7.0
9E,EWR,-5.0
9E,FAR,-3.0
9E,FAY,90.0
9E,FSD,241.0
9E,FSM,-2.0
9E,GFK,-6.0
9E,GNV,-9.666666666666666
9E,GRB,223.0
9E,GRR,1.0
9E,GSO,-7.0
9E,GSP,56.5
9E,HRL,42.0
9E,HSV,39.0
9E,IAD,0.25
9E,IAH,30.333333333333332
9E,ILM,26.666666666666668
9E,IND,125.5
9E,JAN,-7.0
9E,JAX,-5.5
9E,JFK,5.769230769230769
9E,LAN,-6.666666666666667
9E,LEX,-9.0
9E,LFT,-7.0
9E,LGA,15.347826086956522
9E,MCI,
9E,MCO,22.0
9E,MDT,1.0
9E,MGM,-8.0
9E,MKE,-6.0
9E,MOB,-2.3333333333333335
9E,MOT,107.5
9E,MSN,94.0
9E,MSP,48.74285714285714
9E,OAJ,-6.0
9E,OMA,20.0
9E,ORD,16.0
9E,ORF,-7.333333333333333
9E,PHL,14.5
9E,PIA,40.0
9E,PIT,-3.8
9E,PWM,50.333333333333336
9E,RDU,-0.3333333333333333
9E,RIC,1.3333333333333333
9E,ROC,-3.2857142857142856
9E,RSW,-6.0
9E,SAT,-1.5
9E,SRQ,-7.0
9E,STL,-5.0
9E,SYR,-4.8
9E,TLH,56.5
9E,TRI,55.0
9E,TVC,-4.0
9E,TYS,-6.111111111111111
9E,VLD,11.0
AA,ABQ,19.571428571428573
AA,ALB,-5.5
AA,ATL,2.7419354838709675
AA,AUS,14.758620689655173
AA,BDL,2.2
AA,BNA,27.0
AA,BOI,80.33333333333333
AA,BOS,28.471698113207548
AA,BUF,-1.3333333333333333
AA,BWI,6.722222222222222
AA,CHS,39.666666666666664
AA,CLE,25.666666666666668
AA,CLT,13.963265306122448
AA,CMH,0.8571428571428571
AA,COS,12.2
AA,CVG,25.0
AA,DAY,54.0
AA,DCA,7.527272727272727
AA,DEN,39.3125
AA,DFW,33.681940700808624
