Airline,Origin,Delay
OO,ABR,1
OO,GRB,1
UA,ONT,1
YV,LIT,1
DL,CHS,1
OO,SAT,1
AA,CMH,1
WN,GEG,1
9E,GRR,1
9E,MDT,1
AS,ATL,1
DL,COS,1
DL,FAY,1
DL,TLH,1
EV,MHK,1
F9,PSP,1
G4,TOL,1
MQ,AZO,1
MQ,HPN,1
OH,MSN,1
OH,PNS,1
OO,LBB,1
UA,BIL,1
UA,SAV,1
YX,SAV,1
AA,SAT,1
VX,LAS,1
EV,ECP,1
UA,MSY,1
OH,FAY,1
OO,PDX,1
9E,RIC,1
OH,CAE,1
DL,SJU,1
YV,DRO,1
EV,LCH,2
EV,MOB,2
EV,SAV,2
MQ,RIC,2
OO,CAK,2
OO,PIB,2
AA,PDX,2
OO,MFR,2
AS,OGG,2
DL,SFO,2
HA,LAX,2
AA,ONT,2
DL,PHX,2
OO,PSC,2
AS,BLI,2
AS,TUS,2
EV,LFT,2
G4,BGR,2
G4,OGD,2
HA,SMF,2
OO,ROW,2
VX,JFK,2
YV,CAE,2
YX,IND,2
NK,RSW,2
DL,DFW,2
YX,BDL,2
YX,BOS,2
AA,BDL,2
VX,DAL,2
AS,PDX,2
AA,FAT,2
OH,ILM,2
DL,CLT,2
F9,LAX,2
UA,MIA,2
UA,PHL,2
AA,SLC,2
DL,RDU,2
VX,EWR,2
DL,CHA,3
G4,GRI,3
HA,OGG,3
MQ,ATW,3
MQ,CWA,3
YX,ALB,3
AA,ATL,3
F9,STL,3
OO,SLC,3
UA,PDX,3
DL,ECP,3
EV,FNT,3
EV,LNK,3
G4,ABQ,3
MQ,CHO,3
MQ,MLI,3
OO,RIC,3
OO,PHX,3
AA,PBI,3
DL,LAX,3
DL,RIC,3
NK,LAX,3
YV,ROC,3
NK,IAH,3
AA,HDN,4
EV,ROC,4
G4,HTS,4
NK,CAK,4
OO,FNT,4
OO,LAR,4
VX,DEN,4
YX,CMH,4
MQ,LGA,4
F9,IND,4
DL,RSW,4
UA,FLL,4
DL,MIA,4
DL,SLC,4
DL,SAT,4
YX,ATL,4
NK,DEN,4
AS,LIH,4
AS,PHL,4
DL,AVP,4
EV,LEX,4
EV,XNA,4
MQ,TXK,4
OO,IMT,4
UA,MCI,4
UA,TUS,4
VX,LAX,4
YV,FWA,4
UA,ATL,4
UA,DFW,4
AS,KTN,4
MQ,BPT,4
EV,CHS,4
OO,CVG,5
VX,IAD,5
WN,HRL,5
YV,BNA,5
MQ,PIT,5
F9,CLE,5
OH,CLE,5
YV,MSY,5
UA,IAD,5
AA,OGG,5
OO,SBA,5
G4,AZA,5
DL,JAN,5
G4,FCA,5
G4,PSP,5
OO,IFP,5
UA,GUC,5
YV,IND,5
YX,IAD,5
YX,PVD,5
F9,CVG,5
EV,BTR,5
WN,PNS,5
OO,DRO,5
AA,SMF,5
OO,STL,5
AA,SAN,5
DL,HNL,6
VX,OGG,6
AS,ORD,6
G4,TYS,6
YV,EVV,6
9E,JFK,6
YX,IAH,6
EV,BHM,6
OO,EUG,6
WN,CHS,6
YV,MCI,6
UA,DEN,6
HA,PHX,6
MQ,ALO,6
MQ,LEX,6
OO,MKE,6
YV,BOS,6
YX,PBI,6
B6,SFO,6
DL,LAS,6
NK,PHL,6
WN,LBB,6
EV,BOS,6
YX,MSP,6
WN,RIC,6
F9,COS,6
WN,PHL,6
