Index,Date,Airline,Flight_Num,Origin,Destination,Air_Time,Distance,Dep_Time,Hour,Delay,Cancelled (Y/N)
509,1/1/2018,UA,1634,ORD,ORF,89,717,6:06,6,1,0
1599,1/1/2018,AS,23,ORD,SEA,242,1721,8:01,8,1,0
4894,1/1/2018,MQ,3590,ORD,GRR,32,137,8:31,8,1,0
3553,1/1/2018,EV,4018,ORD,SBN,27,84,9:24,9,1,0
14694,1/1/2018,AA,1092,ORD,SJC,256,1829,9:56,9,1,0
16035,1/1/2018,AA,2569,ORD,JAC,173,1162,9:51,9,1,0
2211,1/1/2018,9E,3998,ORD,JFK,94,740,10:01,10,1,0
15122,1/1/2018,AA,130,ORD,JFK,94,740,11:51,11,1,0
15237,1/1/2018,AA,300,ORD,LAS,208,1514,12:18,12,1,0
5235,1/1/2018,MQ,3455,ORD,CMH,50,296,13:31,13,1,0
5486,1/1/2018,MQ,4071,ORD,CID,34,196,13:25,13,1,0
14287,1/1/2018,AA,2279,ORD,DEN,129,888,13:41,13,1,0
1348,1/1/2018,UA,397,ORD,TPA,129,1012,14:21,14,1,0
1604,1/1/2018,AS,29,ORD,SEA,233,1721,14:04,14,1,0
648,1/1/2018,UA,1290,ORD,IAH,130,925,15:59,15,1,0
852,1/1/2018,UA,971,ORD,LGA,94,733,15:01,15,1,0
14228,1/1/2018,AA,2225,ORD,LAX,238,1744,15:01,15,1,0
14358,1/1/2018,AA,2351,ORD,MCO,136,1005,15:01,15,1,0
1118,1/1/2018,UA,597,ORD,BWI,80,622,17:45,17,1,0
5419,1/1/2018,MQ,3849,ORD,COU,52,315,18:55,18,1,0
5896,1/1/2018,NK,425,ORD,FLL,152,1182,18:20,18,1,0
6893,1/1/2018,OO,3188,ORD,SYR,86,607,21:46,21,1,0
14364,1/1/2018,AA,2355,ORD,MSP,57,334,21:57,21,1,0
194,1/1/2018,UA,2015,ORD,DEN,122,888,22:46,22,1,0
14412,1/1/2018,AA,2402,ORD,DFW,108,802,22:16,22,1,0
211,1/1/2018,UA,1996,ORD,SJU,230,2072,7:42,7,2,0
